contract_type,tenure_group,total_customers,churned,avg_monthly_charges,avg_tenure,avg_addon_services,pct_automated_pay,churn_rate_pct
Month-to-month,New (0-12m),516,164,70.14,5.9,1.65,35.5,31.8
Month-to-month,Established (25-48m),922,246,70.91,36.7,1.69,41.3,26.7
Month-to-month,Mid-term (13-24m),485,127,70.69,18.2,1.65,41.0,26.2
Month-to-month,Loyal (49m+),941,237,70.01,60.3,1.66,38.8,25.2
Two year,New (0-12m),210,50,68.05,6.5,1.54,36.7,23.8
One year,New (0-12m),159,36,69.42,6.4,1.58,37.1,22.6
One year,Loyal (49m+),336,76,71.7,60.4,1.62,44.3,22.6
One year,Mid-term (13-24m),154,30,73.31,18.4,1.77,35.1,19.5
One year,Established (25-48m),312,59,71.41,36.9,1.67,38.8,18.9
Two year,Mid-term (13-24m),197,34,69.06,18.4,1.68,41.1,17.3
Two year,Established (25-48m),350,60,69.6,36.3,1.65,43.1,17.1
Two year,Loyal (49m+),413,69,68.27,60.3,1.52,40.9,16.7
